Stock Name,Quantity Held,investor,holdings_value,holdings_change,holdings_quantity,holdings_as_of,holding_average_price
Reliance Home Finance Ltd.,2999597,reliance-group,0.58,-42.87,2999597.0,2023-09-30,1.9335930793369906
Reliance Industrial InfraStructure Ltd.,6860064,reliance-group,760.3,0.0,6860064.0,2023-09-30,1108.298698087948
Reliance Industries Ltd.,722184679,reliance-group,172999.34,-0.03,722184679.0,2023-09-30,2395.5000020154125
Reliance Infrastructure Ltd.,44441194,reliance-group,774.39,11.23,44441194.0,2023-09-30,174.2504938098648
Reliance Power Ltd.,1007239920,reliance-group,2150.46,1.49,1007239920.0,2023-09-30,21.350027508838213
Shalimar Wires Industries Ltd.,7251481,reliance-group,17.26,0.0,7251481.0,2023-09-30,23.802034370634086
Sterling and Wilson Renewable Energy Ltd.,75877334,reliance-group,2507.75,0.0,75877334.0,2023-09-30,330.5005418350624
Tirupati Fin-Lease Ltd.,138100,reliance-group,,0.0,138100.0,2023-09-30,
Amara Raja Batteries Ltd.,1749645,vanguard-fund,116.66,0.0,1749645.0,2023-09-30,666.7638292339303
Axis Bank Ltd.,31242063,vanguard-fund,3121.24,0.0,31242063.0,2023-09-30,999.050542853076
CARE Ratings Ltd.,708656,vanguard-fund,64.3,0.0,708656.0,2023-09-30,907.3513806416654
Computer Age Management Services Ltd.,989775,vanguard-fund,276.26,0.99,989775.0,2023-09-30,2791.1394003687706
Crompton Greaves Consumer Electricals Ltd.,16946981,vanguard-fund,488.5,0.07,16946981.0,2023-09-30,288.25193112566774
Cyient Ltd.,2328582,vanguard-fund,426.78,0.01,2328582.0,2023-09-30,1832.7892253740688
Delhivery Ltd.,15520189,vanguard-fund,594.97,0.03,15520189.0,2023-09-30,383.35229036192794
Federal Bank Ltd.,24005866,vanguard-fund,353.25,-0.01,24005866.0,2023-09-30,147.15153371263506
GHCL Ltd.,2048182,vanguard-fund,111.62,0.0,2048182.0,2023-09-30,544.9711012009675
IDFC Ltd.,36440336,vanguard-fund,426.17,0.03,36440336.0,2023-09-30,116.95007422544073
IIFL Finance Ltd.,3915330,vanguard-fund,236.21,-1.01,3915330.0,2023-09-30,603.2952522520452
Indiabulls Housing Finance Ltd.,10830427,vanguard-fund,201.07,1.23,10830427.0,2023-09-30,185.65288330737098
Indiabulls Real Estate Ltd.,12997864,vanguard-fund,109.51,0.0,12997864.0,2023-09-30,84.25230484024144
Infosys Ltd.,95132558,vanguard-fund,13787.09,-0.02,95132558.0,2023-09-30,1449.2504238138956
Lemon Tree Hotels Ltd.,8071267,vanguard-fund,93.3,0.0,8071267.0,2023-09-30,115.59523430460175
Mahindra & Mahindra Ltd.,25483092,vanguard-fund,3939.3,0.01,25483092.0,2023-09-30,1545.8485179114057
PTC India Ltd.,6358621,vanguard-fund,98.65,0.0,6358621.0,2023-09-30,155.14370175545923
Phoenix International Ltd.,3120000,vanguard-fund,8.74,0.0,3120000.0,2023-09-30,28.012820512820515
RBL Bank Ltd.,6141386,vanguard-fund,146.69,0.0,6141386.0,2023-09-30,238.85487738435592
Reliance Infrastructure Ltd.,4012042,vanguard-fund,69.91,-1.19,4012042.0,2023-09-30,174.25041911325954
Shriram Finance Ltd.,7608232,vanguard-fund,1502.51,0.99,7608232.0,2023-09-30,1974.8477701521194
Zee Entertainment Enterprises Ltd.,46571908,vanguard-fund,1163.6,-0.14,46571908.0,2023-09-30,249.85018865879402
