,COMPANY,investor,ValueCr.,Sep 2023%,Jun 2023%,Mar 2023%,Dec 2022%,Sep 2022%
29,The Indian Hotels Company Ltd.,rakesh-jhunjhunwala,1261.01,2.11,2.11,2.11,2.11,-
47,Thejo Engineering Ltd.,mukul-agrawal,37.14,1.68,-,1.68,-,1.68
36,Thomas Cook (India) Ltd.,mukul-agrawal,78.23,1.06,1.06,1.06,1.06,1.06
14,Tinna Rubber And Infrastructure Ltd.,dolly-khanna,13.59,1.30,1.32,1.41,1.62,1.67
30,Titan Company Ltd.,rakesh-jhunjhunwala,16256.69,5.37,5.36,5.29,5.17,5.54
64,Tracxn Technologies Ltd.,mukul-agrawal,18.86,1.96,1.98,1.99,1.99,-
25,Tracxn Technologies Ltd.,sunil-singhania,0.0,-,-,1.27,1.62,1.62
39,Transpact Enterprises Ltd.,anil-goel,0.18,1.55,-,-,-,-
13,Trent Ltd.,radhakishan-damani,1439.34,1.52,1.52,1.52,1.52,1.52
24,Trinity League India Ltd.,ashok-kumar-jain,0.14,1.21,-,-,-,-
29,Triveni Engineering & Industries Ltd.,anil-goel,289.48,3.49,3.49,3.49,3.52,2.69
49,Ugro Capital Ltd.,ashish-kacholia,38.23,1.56,1.56,-,-,-
27,Uniparts India Ltd.,sunil-singhania,53.84,2.19,2.25,2.25,-,-
10,Unitech Ltd.,dilipkumar-lakhi,57.71,4.69,4.53,4.53,4.53,4.53
14,United Breweries Ltd.,radhakishan-damani,513.03,1.21,1.21,1.19,1.21,1.21
21,United Drilling Tools Ltd.,ashish-kacholia,0.0,-,-,2.81,2.81,2.81
56,Universal Auto Foundry Ltd.,ashish-kacholia,24.49,8.54,-,-,-,-
13,Usha Martin Ltd.,ajay-upadhyaya,115.29,1.17,1.22,1.26,1.26,1.25
30,Uttam Sugar Mills Ltd.,anil-goel,143.77,7.41,7.39,7.17,7.10,7.09
31,VA Tech Wabag Ltd.,rakesh-jhunjhunwala,307.3,8.04,8.04,8.04,8.04,8.04
23,VRL Logistics Ltd.,ashish-kacholia,0.0,-,-,-,-,-
15,VST Industries Ltd.,radhakishan-damani,1554.36,30.71,30.71,30.71,30.71,32.34
22,Vaibhav Global Ltd.,ashish-kacholia,84.67,1.21,1.21,1.21,1.21,1.21
13,Vaibhav Global Ltd.,vijay-kedia,138.65,1.98,1.95,1.95,1.95,1.95
31,Vardhman Holdings Ltd.,anil-goel,68.75,6.89,6.89,6.89,6.89,6.89
32,Vardhman Special Steels Ltd.,anil-goel,38.55,2.15,2.23,2.24,2.22,2.22
37,Vardhman Special Steels Ltd.,mukul-agrawal,0.0,-,1.23,1.23,1.23,1.23
57,Vasa Denticity Ltd.,ashish-kacholia,36.48,3.80,-,-,-,-
73,Vasa Denticity Ltd.,mukul-agrawal,24.56,2.56,-,-,-,-
17,Vascon Engineers Ltd.,ajay-upadhyaya,19.04,1.15,-,-,-,-
5,Vascon Engineers Ltd.,nemish-shah,66.88,4.04,4.04,4.04,4.04,4.04
50,Venus Pipes & Tubes Ltd.,ashish-kacholia,0.0,-,1.97,-,-,-
9,Venus Remedies Ltd.,ajay-upadhyaya,0.0,-,-,-,-,1.31
38,Vidhi Specialty Food Ingredients Ltd.,mukul-agrawal,39.88,1.80,1.80,1.84,1.84,1.84
47,Virtuoso Optoelectronics Ltd.,ashish-kacholia,33.21,5.38,-,5.38,-,-
10,Visaka Industries Ltd.,ajay-upadhyaya,7.71,1.04,1.26,-,1.07,1.16
16,Walchandnagar Industries Ltd.,ajay-upadhyaya,19.13,2.18,2.18,-,-,-
11,Welspun Enterprises Ltd.,dilipkumar-lakhi,300.74,6.47,6.47,6.57,6.74,7.07
12,Welspun Specialty Solutions Ltd.,dilipkumar-lakhi,506.61,23.04,23.04,23.04,23.04,23.04
32,Wockhardt Ltd.,rakesh-jhunjhunwala,100.76,2.04,2.04,2.08,2.08,2.08
17,Worldwide Aluminium Ltd.,ashok-kumar-jain,0.0,0.02,0.02,0.02,0.02,0.02
24,Xpro India Ltd.,ashish-kacholia,73.49,3.91,4.33,4.33,4.45,4.40
25,Yasho Industries Ltd.,ashish-kacholia,75.98,4.17,4.17,3.99,3.82,2.60
58,Zaggle Prepaid Ocean Services Ltd.,ashish-kacholia,53.59,1.74,-,-,-,-
68,Zen Technologies Ltd.,mukul-agrawal,85.12,1.34,1.34,-,-,-
10,Zensar Technologies Ltd.,ashish-dhawan,0.0,-,-,1.06,1.06,1.06
6,Zodiac Clothing Company Ltd.,nemish-shah,5.3,1.56,1.56,1.56,1.64,1.64
39,Zota Health Care Ltd.,mukul-agrawal,71.74,6.83,5.24,5.24,5.17,4.93
22,Zuari Industries Ltd.,dolly-khanna,0.0,-,-,-,-,1.19
