,COMPANY,investor,ValueCr.,Sep 2023%,Jun 2023%,Mar 2023%,Dec 2022%,Sep 2022%
66,ISMT Ltd.,mukul-agrawal,39.45,1.33,1.33,1.33,-,-
6,IVP Ltd.,ashok-kumar-jain,4.54,2.10,2.10,2.10,2.10,2.14
13,Indiabulls Real Estate Ltd.,rakesh-jhunjhunwala,0.0,-,-,-,-,-
5,Indian Card Clothing Company Ltd.,ashok-kumar-jain,0.0,-,2.71,2.47,2.15,1.85
10,Indian Metals & Ferro Alloys Ltd.,mukul-agrawal,37.86,1.44,1.44,1.44,1.44,1.44
11,Indo Count Industries Ltd.,mukul-agrawal,67.44,1.17,1.17,1.17,1.17,1.18
7,Indostar Capital Finance Ltd.,madhusudan-kela,55.21,2.48,2.48,-,-,-
11,Indsil Hydro Power and Manganese Ltd.,anil-goel,2.91,2.48,2.48,-,2.46,2.46
31,Inflame Appliances Ltd.,ashish-kacholia,19.37,4.20,-,4.20,-,4.21
12,Infobeans Technologies Ltd.,mukul-agrawal,51.54,5.14,5.15,5.15,5.15,5.15
3,Innovators Facade Systems Ltd.,vijay-kedia,42.22,10.66,10.66,10.66,10.66,10.66
13,Intellect Design Arena Ltd.,mukul-agrawal,160.1,1.68,1.84,1.84,1.84,-
2,Investment & Precision Castings Ltd.,nemish-shah,33.5,10.00,10.00,10.00,10.0,10.0
14,Ion Exchange (India) Ltd.,mukul-agrawal,105.08,1.23,1.76,1.91,1.91,1.91
9,Ion Exchange (India) Ltd.,sunil-singhania,237.77,2.78,3.27,3.27,3.24,3.05
1,Iris Business Services Ltd.,madhusudan-kela,14.6,5.54,5.54,5.54,5.55,5.55
23,J Kumar Infraprojects Ltd.,dolly-khanna,0.0,-,-,-,-,1.08
15,J Kumar Infraprojects Ltd.,mukul-agrawal,85.22,2.64,2.64,2.64,2.64,2.64
22,J Kumar Infraprojects Ltd.,sunil-singhania,85.43,2.65,2.65,2.65,2.65,2.65
17,JTEKT India Ltd.,mukul-agrawal,54.52,1.61,1.64,1.64,1.64,1.50
50,Jagsonpal Pharmaceuticals Ltd.,mukul-agrawal,17.88,1.77,1.77,1.77,1.77,1.77
